,i,j,dist
0,0,1,2452865.83186919
1,0,2,2032763.1604966398
2,0,3,1868494.0056454486
3,0,4,2084759.07622264
4,0,5,2051055.2167584295
5,0,6,2026784.5983919348
6,0,7,2021057.6255442728
7,0,8,2131122.9761021044
8,0,9,1924528.7031298187
9,0,10,2069448.3272308062
10,0,11,2142208.223844696
11,0,12,1971032.675158084
12,0,13,2044896.9925785684
13,0,14,2161779.744820498
14,0,15,2041500.810411155
15,0,16,2083230.088138305
16,0,17,2113840.8362388313
17,0,18,2138519.1764914645
18,0,19,2098886.029698255
19,0,20,2192805.1790554975
20,0,21,2122354.8498272453
21,0,22,2162998.3780579274
22,0,23,2156459.5594111057
23,0,24,2160855.0942868567
24,0,25,2134351.586726142
25,0,26,2184532.426834048
26,0,27,2182545.2748354776
27,0,28,2168147.9474176415
28,0,29,2170352.27664947
29,0,30,2171608.8314914764
30,0,31,2165604.977802587
31,0,32,2185613.0163501757
32,1,0,2452865.83186919
33,1,2,494541.6793621488
34,1,3,451619.1119954464
35,1,4,377981.3133737365
36,1,5,536203.4807722475
37,1,6,527731.7806403814
38,1,7,570944.728958368
39,1,8,446678.7301656386
40,1,9,469091.3658585946
41,1,10,509284.3482131864
42,1,11,633863.6831897869
43,1,12,545766.085902319
44,1,13,542783.6639671966
45,1,14,590783.1965184596
46,1,15,541926.7299813895
47,1,16,582881.3922022114
48,1,17,557835.5961318361
49,1,18,562101.3993781798
50,1,19,621548.4413711671
51,1,20,591397.2482624453
52,1,21,624574.2013278507
53,1,22,627676.0377692883
54,1,23,622560.4053067081
55,1,24,650092.7178217315
56,1,25,620437.5027130803
57,1,26,637135.4291222969
58,1,27,639707.3221008591
59,1,28,637487.8358118243
60,1,29,642628.8926701049
61,1,30,645569.7904752505
62,1,31,650580.2305587062
63,1,32,652231.0082874285
64,2,0,2032763.1604966398
65,2,1,494541.6793621488
66,2,3,111082.0209629025
67,2,4,9882.810194653395
68,2,5,70387.81193268434
69,2,6,59072.327473826255
70,2,7,122686.56498596838
71,2,8,105536.65002605216
72,2,9,53130.66587836613
73,2,10,97131.2695589875
74,2,11,168594.8811657168
75,2,12,138771.81889265377
76,2,13,145003.54965972676
77,2,14,139148.9711821221
78,2,15,124168.63868595117
79,2,16,137009.18019324297
80,2,17,116758.07976138737
81,2,18,148335.79676196433
82,2,19,158501.87580992823
83,2,20,152238.98786534806
84,2,21,170458.53708502278
85,2,22,157877.1110395567
86,2,23,163445.31209073513
87,2,24,180635.4355082474
88,2,25,164204.97483401958
89,2,26,174572.49784164573
90,2,27,176394.311331305
91,2,28,173498.36159249643
92,2,29,178196.0372396804
93,2,30,179336.66377549653
94,2,31,181098.72561260432
95,2,32,182511.24253709748
96,3,0,1868494.0056454486
97,3,1,451619.1119954464
98,3,2,111082.0209629025
99,3,4,82092.73216242001
100,3,5,14974.197760448536
101,3,6,16973.267687852254
102,3,7,10069.717196626578
103,3,8,9067.021717473563
104,3,9,11457.945837575122
105,3,10,8095.316891394779
106,3,11,25382.099036447336
107,3,12,6801.356110373899
108,3,13,9545.124650870985
109,3,14,19793.443724911584
110,3,15,8106.551323472151
111,3,16,14234.840536071595
112,3,17,13556.25946814406
113,3,18,15827.816880427317
114,3,19,20852.769800233757
115,3,20,22549.992295628686
116,3,21,23494.49106381886
117,3,22,25167.54595685178
118,3,23,24436.403233656572
119,3,24,29844.556464931993
120,3,25,22906.880098698643
121,3,26,28963.19656602916
122,3,27,29344.831019170608
123,3,28,27851.737917853265
124,3,29,29199.012405681566
125,3,30,29746.58174309098
126,3,31,30291.60862344897
127,3,32,31853.099379009698
128,4,0,2084759.07622264
129,4,1,377981.3133737365
130,4,2,9882.810194653395
131,4,3,82092.73216242001
132,4,5,57362.23604985937
133,4,6,48196.01073555912
134,4,7,102340.1783600073
135,4,8,72624.25044007476
136,4,9,38581.35210275773
137,4,10,74149.31608427844
138,4,11,144427.38975373033
139,4,12,112589.57027570027
140,4,13,115903.74078612389
141,4,14,115463.44091726732
142,4,15,99523.00735458378
143,4,16,113982.63421012879
144,4,17,94504.8096095962
145,4,18,119520.0707333452
146,4,19,135470.054500334
147,4,20,125410.35365390411
148,4,21,144976.6106480385
149,4,22,134820.7211707115
150,4,23,138687.72400468652
151,4,24,155757.25219484934
152,4,25,139358.11851623195
153,4,26,148966.15496619098
154,4,27,150766.53840782464
155,4,28,148395.34680219903
156,4,29,152727.51888922352
157,4,30,153997.34495414697
158,4,31,156105.94370491387
159,4,32,157165.06514191136
160,5,0,2051055.2167584295
161,5,1,536203.4807722475
162,5,2,70387.81193268434
163,5,3,14974.197760448536
164,5,4,57362.23604985937
165,5,6,575.4299571502116
166,5,7,7652.197032959165
167,5,8,10026.36439199737
168,5,9,4850.475242196006
169,5,10,3188.1359006812563
170,5,11,21354.430555638
171,5,12,13817.56406105679
172,5,13,14881.180328788856
173,5,14,12085.316068454551
174,5,15,8351.359696161559
175,5,16,11058.394628420658
176,5,17,6140.662834272449
177,5,18,15129.851202390186
178,5,19,17853.880861602374
179,5,20,16527.181726615767
180,5,21,22005.528798415042
181,5,22,17938.743948717325
182,5,23,19641.001468736496
183,5,24,25949.18556807123
184,5,25,19742.941132103886
185,5,26,23822.847114321965
186,5,27,24470.73113611028
187,5,28,23275.970515307567
188,5,29,25063.518304217003
189,5,30,25496.93601990521
190,5,31,26184.51685666897
191,5,32,26863.564912399215
192,6,0,2026784.5983919348
193,6,1,527731.7806403814
194,6,2,59072.327473826255
195,6,3,16973.267687852254
196,6,4,48196.01073555912
197,6,5,575.4299571502116
198,6,7,11759.491792170968
199,6,8,12963.641008264673
200,6,9,3062.110739736179
201,6,10,5771.9687775392285
202,6,11,28329.929636085762
203,6,12,18338.063589803052
204,6,13,20101.24148233604
205,6,14,17559.804540055422
206,6,15,12542.707963617853
207,6,16,16204.033213442632
208,6,17,10127.303792862976
209,6,18,21020.565286513527
210,6,19,24115.13258725474
211,6,20,22755.55034874221
212,6,21,28948.195323223088
213,6,22,24387.291492512973
214,6,23,26383.703156739793
215,6,24,33528.89332705637
216,6,25,26472.631712916304
217,6,26,31197.95706379305
218,6,27,31927.604070709545
219,6,28,30561.90058703335
220,6,29,32554.77886835077
221,6,30,33053.89054735995
222,6,31,33783.671946921684
223,6,32,34597.959691178454
224,7,0,2021057.6255442728
225,7,1,570944.728958368
226,7,2,122686.56498596838
227,7,3,10069.717196626578
228,7,4,102340.1783600073
229,7,5,7652.197032959165
230,7,6,11759.491792170968
231,7,8,9724.74752467681
232,7,9,17224.193132483135
233,7,10,3016.2197573063295
234,7,11,5183.163013007468
235,7,12,1812.341908976204
236,7,13,2319.5441041509744
237,7,14,2843.2709774409896
238,7,15,577.9418750492031
239,7,16,836.466617928488
240,7,17,1484.5703063400622
241,7,18,3175.9186029983484
242,7,19,3174.330169481962
243,7,20,4842.102485346378
244,7,21,5051.28534256193
245,7,22,4587.843737792258
246,7,23,4813.651331540997
247,7,24,7642.6804238630075
248,7,25,4307.097601635218
249,7,26,7162.6948705057
250,7,27,7392.432701947821
251,7,28,6530.708465574537
252,7,29,7397.981573521479
253,7,30,7624.8763106871875
254,7,31,7886.536021749433
255,7,32,8644.3260504624
256,8,0,2131122.9761021044
257,8,1,446678.7301656386
258,8,2,105536.65002605216
259,8,3,9067.021717473563
260,8,4,72624.25044007476
261,8,5,10026.36439199737
262,8,6,12963.641008264673
263,8,7,9724.74752467681
264,8,9,13926.518139699878
265,8,10,2997.758652744557
266,8,11,19006.269323216955
267,8,12,10068.12364920328
268,8,13,8097.726589560494
269,8,14,10537.832437808556
270,8,15,6176.535735110101
271,8,16,10252.02074766874
272,8,17,6337.5516826119965
273,8,18,8462.004686246633
274,8,19,16784.704777394334
275,8,20,11718.084210696452
276,8,21,18374.51145510246
277,8,22,16790.171717010522
278,8,23,16760.366855691216
279,8,24,22762.423851978194
280,8,25,16783.910141961715
281,8,26,19962.30311001144
282,8,27,20571.372287929196
283,8,28,19933.788828909786
284,8,29,21314.428624230277
285,8,30,21860.393051978484
286,8,31,22878.645076565892
287,8,32,23176.881598402368
288,9,0,1924528.7031298187
289,9,1,469091.3658585946
290,9,2,53130.66587836613
291,9,3,11457.945837575122
292,9,4,38581.35210275773
293,9,5,4850.475242196006
294,9,6,3062.110739736179
295,9,7,17224.193132483135
296,9,8,13926.518139699878
297,9,10,9128.914621907625
298,9,11,39614.44011103573
299,9,12,21013.633666523914
300,9,13,24395.374413597405
301,9,14,27403.700780765335
302,9,15,16931.064408424478
303,9,16,23754.442047913028
304,9,17,17252.29918937911
305,9,18,28605.351734855132
306,9,19,33879.882894094306
307,9,20,33195.65704309795
308,9,21,39252.173370187455
309,9,22,36013.22033616723
310,9,23,37495.37056221727
311,9,24,45922.29415228903
312,9,25,36927.104468641264
313,9,26,43563.69216187737
314,9,27,44352.8294674278
315,9,28,42577.02712888668
316,9,29,44823.19516400997
317,9,30,45484.643105809584
318,9,31,46312.72087468281
319,9,32,47656.30447757158
320,10,0,2069448.3272308062
321,10,1,509284.3482131864
322,10,2,97131.2695589875
323,10,3,8095.316891394779
324,10,4,74149.31608427844
325,10,5,3188.1359006812563
326,10,6,5771.9687775392285
327,10,7,3016.2197573063295
328,10,8,2997.758652744557
329,10,9,9128.914621907625
330,10,11,12375.85481504085
331,10,12,5580.155513376767
332,10,13,5302.201276306222
333,10,14,5566.286629626467
334,10,15,2037.4851547497778
335,10,16,4516.814988712796
336,10,17,1715.7099218509265
337,10,18,5788.322987687216
338,10,19,9830.566493467759
339,10,20,7991.715751533546
340,10,21,12287.779714640787
341,10,22,10300.348409857397
342,10,23,10874.415569283228
343,10,24,15985.83654207236
344,10,25,10755.819903309897
345,10,26,14110.718660667879
346,10,27,14613.832200594352
347,10,28,13736.768602547205
348,10,29,15082.123539375836
349,10,30,15494.98383802158
350,10,31,16178.257873000304
351,10,32,16735.544360189167
352,11,0,2142208.223844696
353,11,1,633863.6831897869
354,11,2,168594.8811657168
355,11,3,25382.099036447336
356,11,4,144427.38975373033
357,11,5,21354.430555638
358,11,6,28329.929636085762
359,11,7,5183.163013007468
360,11,8,19006.269323216955
361,11,9,39614.44011103573
362,11,10,12375.85481504085
363,11,12,6395.524573395685
364,11,13,4308.711555299757
365,11,14,1832.7686531227869
366,11,15,5606.645188821829
367,11,16,2111.900927610921
368,11,17,5302.368524610109
369,11,18,2231.4369040322563
370,11,19,316.47003323478435
371,11,20,1426.8864094695573
372,11,21,136.50763970076758
373,11,22,302.4333165979417
374,11,23,112.99580607246725
375,11,24,249.44900563279208
376,11,25,76.18485051521569
377,11,26,247.4925285725899
378,11,27,251.3432950464823
379,11,28,102.31601920314128
380,11,29,211.3929523902928
381,11,30,241.29720360244258
382,11,31,292.39161372759713
383,11,32,451.6422803438081
384,12,0,1971032.675158084
385,12,1,545766.085902319
386,12,2,138771.81889265377
387,12,3,6801.356110373899
388,12,4,112589.57027570027
389,12,5,13817.56406105679
390,12,6,18338.063589803052
391,12,7,1812.341908976204
392,12,8,10068.12364920328
393,12,9,21013.633666523914
394,12,10,5580.155513376767
395,12,11,6395.524573395685
396,12,13,748.3389133611519
397,12,14,5432.7499515390045
398,12,15,1217.1867825714758
399,12,16,2367.38465491223
400,12,17,4293.183771311824
401,12,18,3463.0007224532783
402,12,19,4167.023219635965
403,12,20,6525.404596050067
404,12,21,5306.092113508578
405,12,22,6778.01680146671
406,12,23,6204.679141020579
407,12,24,8534.773303895994
408,12,25,5278.341521540123
409,12,26,8453.695038273197
410,12,27,8583.633557760211
411,12,28,7739.482385094041
412,12,29,8334.625517195696
413,12,30,8607.668588741491
414,12,31,8782.416059653173
415,12,32,9763.720566293285
416,13,0,2044896.9925785684
417,13,1,542783.6639671966
418,13,2,145003.54965972676
419,13,3,9545.124650870985
420,13,4,115903.74078612389
421,13,5,14881.180328788856
422,13,6,20101.24148233604
423,13,7,2319.5441041509744
424,13,8,8097.726589560494
425,13,9,24395.374413597405
426,13,10,5302.201276306222
427,13,11,4308.711555299757
428,13,12,748.3389133611519
429,13,14,3206.102767061765
430,13,15,1025.6329788878295
431,13,16,1510.2738202317787
432,13,17,3103.7130496092454
433,13,18,1189.7290243616455
434,13,19,2903.1622486645733
435,13,20,3470.0878165662143
436,13,21,3410.640426842649
437,13,22,4469.911106699787
438,13,23,3850.3178781328993
439,13,24,6030.499543126467
440,13,25,3281.8006262751164
441,13,26,5531.579705689803
442,13,27,5684.97131373743
443,13,28,5131.371556166436
444,13,29,5634.348811525713
445,13,30,5896.538361932986
446,13,31,6183.826925290982
447,13,32,6810.354298516839
448,14,0,2161779.744820498
449,14,1,590783.1965184596
450,14,2,139148.9711821221
451,14,3,19793.443724911584
452,14,4,115463.44091726732
453,14,5,12085.316068454551
454,14,6,17559.804540055422
455,14,7,2843.2709774409896
456,14,8,10537.832437808556
457,14,9,27403.700780765335
458,14,10,5566.286629626467
459,14,11,1832.7686531227869
460,14,12,5432.7499515390045
461,14,13,3206.102767061765
462,14,15,2621.5740086684473
463,14,16,803.5424164896021
464,14,17,1181.2394604934666
465,14,18,911.3766341140188
466,14,19,1515.4388314466073
467,14,20,422.28302330699967
468,14,21,2172.078545176462
469,14,22,846.6709450678763
470,14,23,1137.5705762178234
471,14,24,3167.761739949792
472,14,25,1378.0086027859447
473,14,26,2158.384983351206
474,14,27,2385.0561485035228
475,14,28,2122.2820774251213
476,14,29,2688.546091790781
477,14,30,2851.3003516596723
478,14,31,3201.661646868867
479,14,32,3275.26814233509
480,15,0,2041500.810411155
481,15,1,541926.7299813895
482,15,2,124168.63868595117
483,15,3,8106.551323472151
484,15,4,99523.00735458378
485,15,5,8351.359696161559
486,15,6,12542.707963617853
487,15,7,577.9418750492031
488,15,8,6176.535735110101
489,15,9,16931.064408424478
490,15,10,2037.4851547497778
491,15,11,5606.645188821829
492,15,12,1217.1867825714758
493,15,13,1025.6329788878295
494,15,14,2621.5740086684473
495,15,16,947.4194739671357
496,15,17,1119.5729517058976
497,15,18,1937.8087151331574
498,15,19,3702.5664065000847
499,15,20,4036.755717590193
500,15,21,5177.412789525206
501,15,22,4957.117766818952
502,15,23,4916.6670117679705
503,15,24,8080.22399399765
504,15,25,4471.766868806925
505,15,26,7234.543171135549
506,15,27,7503.7067603812775
507,15,28,6755.710496149102
508,15,29,7606.0334781795555
509,15,30,7894.552730201705
510,15,31,8279.712955020981
511,15,32,8937.350779017424
512,16,0,2083230.088138305
513,16,1,582881.3922022114
514,16,2,137009.18019324297
515,16,3,14234.840536071595
516,16,4,113982.63421012879
517,16,5,11058.394628420658
518,16,6,16204.033213442632
519,16,7,836.466617928488
520,16,8,10252.02074766874
521,16,9,23754.442047913028
522,16,10,4516.814988712796
523,16,11,2111.900927610921
524,16,12,2367.38465491223
525,16,13,1510.2738202317787
526,16,14,803.5424164896021
527,16,15,947.4194739671357
528,16,17,1153.735687295832
529,16,18,1013.0097448338006
530,16,19,1058.9580342798558
531,16,20,1737.5088470513645
532,16,21,2071.2633577685046
533,16,22,1668.2723518785492
534,16,23,1731.349614621423
535,16,24,3788.3394392649116
