,i,j,dist
536,16,25,1501.6199577481038
537,16,26,3244.108567499691
538,16,27,3423.855394915452
539,16,28,2887.750576224321
540,16,29,3498.237648694434
541,16,30,3675.90487191225
542,16,31,3930.7165460508095
543,16,32,4378.436501976623
544,17,0,2113840.8362388313
545,17,1,557835.5961318361
546,17,2,116758.07976138737
547,17,3,13556.25946814406
548,17,4,94504.8096095962
549,17,5,6140.662834272449
550,17,6,10127.303792862976
551,17,7,1484.5703063400622
552,17,8,6337.5516826119965
553,17,9,17252.29918937911
554,17,10,1715.7099218509265
555,17,11,5302.368524610109
556,17,12,4293.183771311824
557,17,13,3103.7130496092454
558,17,14,1181.2394604934666
559,17,15,1119.5729517058976
560,17,16,1153.735687295832
561,17,18,2080.20257353349
562,17,19,3897.4807865869243
563,17,20,2657.176554825841
564,17,21,5492.535914771475
565,17,22,3736.0135368324045
566,17,23,4259.725199955541
567,17,24,7679.841170650505
568,17,25,4357.136900791297
569,17,26,6320.141646854214
570,17,27,6672.660244507064
571,17,28,6113.719442184347
572,17,29,7036.329028119455
573,17,30,7308.933700550093
574,17,31,7781.72050329615
575,17,32,8092.67405111334
576,18,0,2138519.1764914645
577,18,1,562101.3993781798
578,18,2,148335.79676196433
579,18,3,15827.816880427317
580,18,4,119520.0707333452
581,18,5,15129.851202390186
582,18,6,21020.565286513527
583,18,7,3175.9186029983484
584,18,8,8462.004686246633
585,18,9,28605.351734855132
586,18,10,5788.322987687216
587,18,11,2231.4369040322563
588,18,12,3463.0007224532783
589,18,13,1189.7290243616455
590,18,14,911.3766341140188
591,18,15,1937.8087151331574
592,18,16,1013.0097448338006
593,18,17,2080.20257353349
594,18,19,1825.3158381764586
595,18,20,709.0429651981541
596,18,21,1971.3229023643892
597,18,22,1874.5251621405316
598,18,23,1559.1220290443441
599,18,24,3517.146879125156
600,18,25,1513.624630770586
601,18,26,2590.7982654507605
602,18,27,2779.49661457276
603,18,28,2519.1462710412634
604,18,29,2987.5183237735855
605,18,30,3193.4495156424696
606,18,31,3574.126861453105
607,18,32,3759.903414354586
608,19,0,2098886.029698255
609,19,1,621548.4413711671
610,19,2,158501.87580992823
611,19,3,20852.769800233757
612,19,4,135470.054500334
613,19,5,17853.880861602374
614,19,6,24115.13258725474
615,19,7,3174.330169481962
616,19,8,16784.704777394334
617,19,9,33879.882894094306
618,19,10,9830.566493467759
619,19,11,316.47003323478435
620,19,12,4167.023219635965
621,19,13,2903.1622486645733
622,19,14,1515.4388314466073
623,19,15,3702.5664065000847
624,19,16,1058.9580342798558
625,19,17,3897.4807865869243
626,19,18,1825.3158381764586
627,19,20,1660.2331289466658
628,19,21,285.2445531071801
629,19,22,535.8832161674734
630,19,23,404.2113474013853
631,19,24,1008.5818063535719
632,19,25,193.88806489520414
633,19,26,1046.7678280051377
634,19,27,1078.8366848510448
635,19,28,747.0917743419279
636,19,29,980.1354842934168
637,19,30,1052.9378380253377
638,19,31,1099.0447552556777
639,19,32,1458.546733775378
640,20,0,2192805.1790554975
641,20,1,591397.2482624453
642,20,2,152238.98786534806
643,20,3,22549.992295628686
644,20,4,125410.35365390411
645,20,5,16527.181726615767
646,20,6,22755.55034874221
647,20,7,4842.102485346378
648,20,8,11718.084210696452
649,20,9,33195.65704309795
650,20,10,7991.715751533546
651,20,11,1426.8864094695573
652,20,12,6525.404596050067
653,20,13,3470.0878165662143
654,20,14,422.28302330699967
655,20,15,4036.755717590193
656,20,16,1737.5088470513645
657,20,17,2657.176554825841
658,20,18,709.0429651981541
659,20,19,1660.2331289466658
660,20,21,1629.9657689560993
661,20,22,734.5203661106792
662,20,23,741.2038199435376
663,20,24,2254.152107522048
664,20,25,1060.6234294437595
665,20,26,1248.2094127114392
666,20,27,1429.8227070857674
667,20,28,1367.1562204428694
668,20,29,1738.6552898237999
669,20,30,1883.7712198425997
670,20,31,2231.7757688468105
671,20,32,2154.8413296259037
672,21,0,2122354.8498272453
673,21,1,624574.2013278507
674,21,2,170458.53708502278
675,21,3,23494.49106381886
676,21,4,144976.6106480385
677,21,5,22005.528798415042
678,21,6,28948.195323223088
679,21,7,5051.28534256193
680,21,8,18374.51145510246
681,21,9,39252.173370187455
682,21,10,12287.779714640787
683,21,11,136.50763970076758
684,21,12,5306.092113508578
685,21,13,3410.640426842649
686,21,14,2172.078545176462
687,21,15,5177.412789525206
688,21,16,2071.2633577685046
689,21,17,5492.535914771475
690,21,18,1971.3229023643892
691,21,19,285.2445531071801
692,21,20,1629.9657689560993
693,21,22,658.1261614526027
694,21,23,279.3154548513544
695,21,24,387.0141192545266
696,21,25,111.45606876803174
697,21,26,480.61779146164986
698,21,27,466.26858300369076
699,21,28,291.82691035387404
700,21,29,355.5811374468978
701,21,30,406.34398406388823
702,21,31,437.63959567538024
703,21,32,685.2654113218122
704,22,0,2162998.3780579274
705,22,1,627676.0377692883
706,22,2,157877.1110395567
707,22,3,25167.54595685178
708,22,4,134820.7211707115
709,22,5,17938.743948717325
710,22,6,24387.291492512973
711,22,7,4587.843737792258
712,22,8,16790.171717010522
713,22,9,36013.22033616723
714,22,10,10300.348409857397
715,22,11,302.4333165979417
716,22,12,6778.01680146671
717,22,13,4469.911106699787
718,22,14,846.6709450678763
719,22,15,4957.117766818952
720,22,16,1668.2723518785492
721,22,17,3736.0135368324045
722,22,18,1874.5251621405316
723,22,19,535.8832161674734
724,22,20,734.5203661106792
725,22,21,658.1261614526027
726,22,23,115.62867543110298
727,22,24,829.6292824443113
728,22,25,292.24229218135497
729,22,26,443.9539203132925
730,22,27,528.9996862763089
731,22,28,387.937626793892
732,22,29,640.2485449694087
733,22,30,701.5866161362142
734,22,31,844.9999334045157
735,22,32,904.3633158018738
736,23,0,2156459.5594111057
737,23,1,622560.4053067081
738,23,2,163445.31209073513
739,23,3,24436.403233656572
740,23,4,138687.72400468652
741,23,5,19641.001468736496
742,23,6,26383.703156739793
743,23,7,4813.651331540997
744,23,8,16760.366855691216
745,23,9,37495.37056221727
746,23,10,10874.415569283228
747,23,11,112.99580607246725
748,23,12,6204.679141020579
749,23,13,3850.3178781328993
750,23,14,1137.5705762178234
751,23,15,4916.6670117679705
752,23,16,1731.349614621423
753,23,17,4259.725199955541
754,23,18,1559.1220290443441
755,23,19,404.2113474013853
756,23,20,741.2038199435376
757,23,21,279.3154548513544
758,23,22,115.62867543110298
759,23,24,521.0694554127446
760,23,25,72.7157061566086
761,23,26,237.4042857067052
762,23,27,291.83542285177765
763,23,28,168.332002401313
764,23,29,350.5669716032423
765,23,30,412.15511588443985
766,23,31,543.4323132245156
767,23,32,634.0253733424208
768,24,0,2160855.0942868567
769,24,1,650092.7178217315
770,24,2,180635.4355082474
771,24,3,29844.556464931993
772,24,4,155757.25219484934
773,24,5,25949.18556807123
774,24,6,33528.89332705637
775,24,7,7642.6804238630075
776,24,8,22762.423851978194
777,24,9,45922.29415228903
778,24,10,15985.83654207236
779,24,11,249.44900563279208
780,24,12,8534.773303895994
781,24,13,6030.499543126467
782,24,14,3167.761739949792
783,24,15,8080.22399399765
784,24,16,3788.3394392649116
785,24,17,7679.841170650505
786,24,18,3517.146879125156
787,24,19,1008.5818063535719
788,24,20,2254.152107522048
789,24,21,387.0141192545266
790,24,22,829.6292824443113
791,24,23,521.0694554127446
792,24,25,538.1842625990153
793,24,26,187.65763791929174
794,24,27,129.45809947099346
795,24,28,116.96026877055056
796,24,29,40.714939152090366
797,24,30,26.22492980078328
798,24,31,4.951628958430854
799,24,32,74.78833443575698
800,25,0,2134351.586726142
801,25,1,620437.5027130803
802,25,2,164204.97483401958
803,25,3,22906.880098698643
804,25,4,139358.11851623195
805,25,5,19742.941132103886
806,25,6,26472.631712916304
807,25,7,4307.097601635218
808,25,8,16783.910141961715
809,25,9,36927.104468641264
810,25,10,10755.819903309897
811,25,11,76.18485051521569
812,25,12,5278.341521540123
813,25,13,3281.8006262751164
814,25,14,1378.0086027859447
815,25,15,4471.766868806925
816,25,16,1501.6199577481038
817,25,17,4357.136900791297
818,25,18,1513.624630770586
819,25,19,193.88806489520414
820,25,20,1060.6234294437595
821,25,21,111.45606876803174
822,25,22,292.24229218135497
823,25,23,72.7157061566086
824,25,24,538.1842625990153
825,25,26,410.90149145263723
826,25,27,444.3378204172852
827,25,28,252.80201476836356
828,25,29,428.7060258722993
829,25,30,491.68631247261897
830,25,31,590.8751405541461
831,25,32,786.591786738966
832,26,0,2184532.426834048
833,26,1,637135.4291222969
834,26,2,174572.49784164573
835,26,3,28963.19656602916
836,26,4,148966.15496619098
837,26,5,23822.847114321965
838,26,6,31197.95706379305
839,26,7,7162.6948705057
840,26,8,19962.30311001144
841,26,9,43563.69216187737
842,26,10,14110.718660667879
843,26,11,247.4925285725899
844,26,12,8453.695038273197
845,26,13,5531.579705689803
846,26,14,2158.384983351206
847,26,15,7234.543171135549
848,26,16,3244.108567499691
849,26,17,6320.141646854214
850,26,18,2590.7982654507605
851,26,19,1046.7678280051377
852,26,20,1248.2094127114392
853,26,21,480.61779146164986
854,26,22,443.9539203132925
855,26,23,237.4042857067052
856,26,24,187.65763791929174
857,26,25,410.90149145263723
858,26,27,6.888920533341011
859,26,28,35.62625778818128
860,26,29,59.85355614880725
861,26,30,78.5040016500962
862,26,31,168.6712252192055
863,26,32,127.97905048413324
864,27,0,2182545.2748354776
865,27,1,639707.3221008591
866,27,2,176394.311331305
867,27,3,29344.831019170608
868,27,4,150766.53840782464
869,27,5,24470.73113611028
870,27,6,31927.604070709545
871,27,7,7392.432701947821
872,27,8,20571.372287929196
873,27,9,44352.8294674278
874,27,10,14613.832200594352
875,27,11,251.3432950464823
876,27,12,8583.633557760211
877,27,13,5684.97131373743
878,27,14,2385.0561485035228
879,27,15,7503.7067603812775
880,27,16,3423.855394915452
881,27,17,6672.660244507064
882,27,18,2779.49661457276
883,27,19,1078.8366848510448
884,27,20,1429.8227070857674
885,27,21,466.26858300369076
886,27,22,528.9996862763089
887,27,23,291.83542285177765
888,27,24,129.45809947099346
889,27,25,444.3378204172852
890,27,26,6.888920533341011
891,27,28,33.02273169541998
892,27,29,29.64706451286328
893,27,30,40.83110258968735
894,27,31,111.64682515402649
895,27,32,80.24549372341134
896,28,0,2168147.9474176415
897,28,1,637487.8358118243
898,28,2,173498.36159249643
899,28,3,27851.737917853265
900,28,4,148395.34680219903
901,28,5,23275.970515307567
902,28,6,30561.90058703335
903,28,7,6530.708465574537
904,28,8,19933.788828909786
905,28,9,42577.02712888668
906,28,10,13736.768602547205
907,28,11,102.31601920314128
908,28,12,7739.482385094041
909,28,13,5131.371556166436
910,28,14,2122.2820774251213
911,28,15,6755.710496149102
912,28,16,2887.750576224321
913,28,17,6113.719442184347
914,28,18,2519.1462710412634
915,28,19,747.0917743419279
916,28,20,1367.1562204428694
917,28,21,291.82691035387404
918,28,22,387.937626793892
919,28,23,168.332002401313
920,28,24,116.96026877055056
921,28,25,252.80201476836356
922,28,26,35.62625778818128
923,28,27,33.02273169541998
924,28,29,38.816735102645346
925,28,30,56.64684537736642
926,28,31,121.53044443609633
927,28,32,158.1727732102029
928,29,0,2170352.27664947
929,29,1,642628.8926701049
930,29,2,178196.0372396804
931,29,3,29199.012405681566
932,29,4,152727.51888922352
933,29,5,25063.518304217003
934,29,6,32554.77886835077
935,29,7,7397.981573521479
936,29,8,21314.428624230277
937,29,9,44823.19516400997
938,29,10,15082.123539375836
939,29,11,211.3929523902928
940,29,12,8334.625517195696
941,29,13,5634.348811525713
942,29,14,2688.546091790781
943,29,15,7606.0334781795555
944,29,16,3498.237648694434
945,29,17,7036.329028119455
946,29,18,2987.5183237735855
947,29,19,980.1354842934168
948,29,20,1738.6552898237999
949,29,21,355.5811374468978
950,29,22,640.2485449694087
951,29,23,350.5669716032423
952,29,24,40.714939152090366
953,29,25,428.7060258722993
954,29,26,59.85355614880725
955,29,27,29.64706451286328
956,29,28,38.816735102645346
957,29,30,3.9344268695895153
958,29,31,33.371004966228476
959,29,32,57.79330561462469
960,30,0,2171608.8314914764
961,30,1,645569.7904752505
962,30,2,179336.66377549653
963,30,3,29746.58174309098
964,30,4,153997.34495414697
965,30,5,25496.93601990521
966,30,6,33053.89054735995
967,30,7,7624.8763106871875
968,30,8,21860.393051978484
969,30,9,45484.643105809584
970,30,10,15494.98383802158
971,30,11,241.29720360244258
972,30,12,8607.668588741491
973,30,13,5896.538361932986
974,30,14,2851.3003516596723
975,30,15,7894.552730201705
976,30,16,3675.90487191225
977,30,17,7308.933700550093
978,30,18,3193.4495156424696
979,30,19,1052.9378380253377
980,30,20,1883.7712198425997
981,30,21,406.34398406388823
982,30,22,701.5866161362142
983,30,23,412.15511588443985
984,30,24,26.22492980078328
985,30,25,491.68631247261897
986,30,26,78.5040016500962
987,30,27,40.83110258968735
988,30,28,56.64684537736642
989,30,29,3.9344268695895153
990,30,31,18.803244171216086
991,30,32,38.205456135755256
992,31,0,2165604.977802587
993,31,1,650580.2305587062
994,31,2,181098.72561260432
995,31,3,30291.60862344897
996,31,4,156105.94370491387
997,31,5,26184.51685666897
998,31,6,33783.671946921684
999,31,7,7886.536021749433
1000,31,8,22878.645076565892
1001,31,9,46312.72087468281
1002,31,10,16178.257873000304
1003,31,11,292.39161372759713
1004,31,12,8782.416059653173
1005,31,13,6183.826925290982
1006,31,14,3201.661646868867
1007,31,15,8279.712955020981
1008,31,16,3930.7165460508095
1009,31,17,7781.72050329615
1010,31,18,3574.126861453105
1011,31,19,1099.0447552556777
1012,31,20,2231.7757688468105
1013,31,21,437.63959567538024
1014,31,22,844.9999334045157
1015,31,23,543.4323132245156
1016,31,24,4.951628958430854
1017,31,25,590.8751405541461
1018,31,26,168.6712252192055
1019,31,27,111.64682515402649
1020,31,28,121.53044443609633
1021,31,29,33.371004966228476
1022,31,30,18.803244171216086
1023,31,32,46.302776668136005
1024,32,0,2185613.0163501757
1025,32,1,652231.0082874285
1026,32,2,182511.24253709748
1027,32,3,31853.099379009698
1028,32,4,157165.06514191136
1029,32,5,26863.564912399215
1030,32,6,34597.959691178454
1031,32,7,8644.3260504624
1032,32,8,23176.881598402368
1033,32,9,47656.30447757158
1034,32,10,16735.544360189167
1035,32,11,451.6422803438081
1036,32,12,9763.720566293285
1037,32,13,6810.354298516839
1038,32,14,3275.26814233509
1039,32,15,8937.350779017424
1040,32,16,4378.436501976623
1041,32,17,8092.67405111334
1042,32,18,3759.903414354586
1043,32,19,1458.546733775378
1044,32,20,2154.8413296259037
1045,32,21,685.2654113218122
1046,32,22,904.3633158018738
1047,32,23,634.0253733424208
1048,32,24,74.78833443575698
1049,32,25,786.591786738966
1050,32,26,127.97905048413324
1051,32,27,80.24549372341134
1052,32,28,158.1727732102029
1053,32,29,57.79330561462469
1054,32,30,38.205456135755256
1055,32,31,46.302776668136005
