item,0,1,t
0,-118799.26320660043,-2792.8763726843736,0
1,-118799.42864375345,1876.7805672497452,0
2,-118799.29469356811,-2572.770724116194,0
3,-118799.43977798539,2218.148186607419,0
4,-118755.15202061705,23345.783415163773,0
5,-118778.28138034207,-2876.3200084799773,0
6,-118799.42058241872,1039.6083290343663,0
7,-118799.33546294118,-1146.851594352975,0
8,-118799.43896497352,1253.4996643368627,0
9,-118799.43427452196,1925.9701489230642,0
10,-118799.26768794209,-2841.0228189224345,0
11,-118799.3791333431,-344.66488629407434,0
12,-118799.3864223924,480.1624183682157,0
13,-118799.42474089496,1656.2362367219373,0
14,-118799.36872287614,52.18718070227599,0
15,-118799.4295390495,1702.3024952187332,0
16,-118799.42738885284,1414.0212630241244,0
17,-118799.42764084887,1306.4097623019409,0
18,-118799.404397865,725.4393419835014,0
19,-118799.4279520879,1570.1070714357086,0
20,-118799.32731771725,-1739.9155962069226,0
21,-118799.39655551406,754.5195081160481,0
22,-118799.4067292989,920.8445514083929,0
23,-118799.42917398857,1680.4263714040983,0
24,-118799.29839196322,-2317.967505623357,0
25,-118799.43690254426,2210.510703823162,0
26,-118799.35811863982,-29.575640732794827,0
27,-118799.35403545942,-450.17769496767164,0
28,-118799.40686472562,1101.7675910418623,0
29,-118799.44108046952,2221.8913048083373,0
30,-118799.37548020897,403.5035697807192,0
31,-118799.43716424951,2097.896431737436,0
32,-118799.20385880917,-6299.794643740212,0
33,-118799.37102771917,-296.9629063395176,0
34,-118799.31137715939,-1805.3828583405434,0
35,-118799.36499951611,-287.0548951014002,0
36,-118799.39767024697,224.15840161966423,0
37,-118799.37980554654,156.7312190381463,0
38,-118799.43177606532,2093.8324481371974,0
39,-118799.12959572143,-5931.071376673966,0
40,-118799.3874095519,160.41595505244806,0
41,-118799.43323709979,1830.8365939955568,0
42,-118799.29349298037,-2081.11873055584,0
43,-118799.44129649515,2424.252073753403,0
44,-118799.39437638817,914.5173718105611,0
45,-118799.40133984241,437.4568994237938,0
46,-118799.30071105537,-1688.2674553585725,0
47,-118799.34191011793,-1225.8310170249877,0
48,-118799.33455293791,-623.9908759163411,0
49,-118799.34299388592,-578.2389044829597,0
50,-118799.41713030542,1289.3104852300678,0
51,-118799.32053298737,-1358.7513512343016,0
52,-118799.25885066103,-2908.7465353745442,0
53,-118799.28240466144,-2802.302683130303,0
54,-118799.28507986505,-2803.5105820837334,0
55,-118799.28077055395,-2839.3096900158425,0
56,-118799.30043134536,-2512.470167475782,0
57,-118799.4382929305,2184.8425173180863,0
58,-118799.4173629788,999.2095779831835,0
59,-118799.41694523791,978.53278550773,0
60,-118799.41325116195,1110.3768630917016,0
61,-118799.41689329449,954.5117843728626,0
62,-118799.3848370987,-78.68964242095716,0
63,-118799.43567515003,1965.7854294584283,0
64,-118799.43365446423,1892.394538258832,0
65,-118799.43314245937,1867.4463577464644,0
66,-118799.43430831315,1963.2521091982348,0
67,-118799.43422376321,1950.3450794015573,0
68,-118799.32910799982,-1300.5946460219332,0
69,-118799.33082941413,-1180.8549154059924,0
70,-118799.33742476991,-1051.0142880450983,0
71,-118799.33129802888,-1306.382334220789,0
72,-118799.38464656901,532.867333029515,0
73,-118799.43018669877,1850.7214637890236,0
74,-118799.4329315956,1862.796081893693,0
75,-118799.43624692773,1761.6034695840983,0
76,-118799.42899784313,1674.0653315571324,0
77,-118799.42882405348,1624.7773611317152,0
78,-118799.42669976008,1617.1592603034826,0
79,-118799.42993891712,1696.2790209613638,0
80,-118799.36264297187,-172.24345032499832,0
81,-118799.42787534323,1338.8315336341636,0
82,-118799.33032394577,-1757.563608883439,0
83,-118799.39596769377,839.2944986865591,0
84,-118799.42615790993,1651.1448078421079,0
85,-118799.39539433662,729.8324123344019,0
86,-118799.37852663644,414.52523617712393,0
87,-118799.36526467359,125.50041536598538,0
88,-118799.40809576711,1206.969419813561,0
89,-118799.30857016423,-1818.2266361804393,0
90,-118798.4326777179,2054.9758339975588,0
91,-118798.36046669372,-14.953967033199172,0
92,-118798.44020013908,1234.2509893461613,0
93,-118798.4150813763,951.7194054617052,0
94,-118798.37786110562,-245.08518671488702,0
95,-118798.4023281602,821.7317218080659,0
96,-118798.4069005639,404.9173776078233,0
97,-118798.27697545243,-2805.5097828845624,0
98,-118798.42204300797,1202.1233049407965,0
99,-118797.40604154464,949.7488218497917,0
100,-118796.37481556389,214.48978963002378,0
101,-118798.43414121117,2052.7542041106312,0
102,-118798.40309586679,711.1303579960775,0
103,-118798.26706882232,-2953.7424668918907,0
104,-118798.29421042172,-2530.8787693774107,0
105,-118798.42981002101,1744.3037772479872,0
106,-118797.39572252604,726.5061922405025,0
107,-118798.43480795539,1971.1361486109872,0
108,-118798.37046453201,-100.83968258385221,0
109,-118798.26556090306,-2736.2630397167213,0
110,-118797.43743973858,1188.697784655731,0
111,-118798.26534948921,-2894.1210621974283,0
112,-118798.416192492,746.5759129380799,0
113,-118798.41341701304,885.8303956164817,0
114,-118798.30712697614,-2336.822122004884,0
115,-118798.39513231588,404.49949177736437,0
116,-118798.38564771027,343.6699472445283,0
117,-118798.43901317261,2114.053810137359,0
118,-118798.43143809297,1941.4421508186892,0
119,-118798.43812939947,1310.19572906143,0
120,-118797.42844363801,1659.0307371081756,0
121,-118798.43963798389,2263.490452866163,0
122,-118797.42911849817,1679.3829008539321,0
123,-118794.43157164285,1839.576564071462,0
124,-118797.2846090451,-2781.6136246202386,0
125,-118796.44688835074,1391.0023600792747,0
126,-118797.44057962071,1230.6907693792216,0
127,-118797.32986771254,-1722.0706774832038,0
128,-118795.43412799173,1976.775481128976,0
129,-118797.43002408362,1974.9088382721955,0
130,-118798.43386935197,1426.0574520656705,0
131,-118798.26355176955,-2889.938851777818,0
132,-118796.41559986766,944.569837274681,0
133,-118798.30877039461,-1831.4915153155212,0
134,-118798.33856807149,-1062.50326578749,0
135,-118798.20218944583,-6336.5239659004465,0
136,-118797.27045775474,-2902.5632518044827,0
137,-118798.25644925576,-2975.306613596134,0
138,-118798.42766412799,1340.2798098224678,0
139,-118798.27343878344,-2788.840501324138,0
140,-118798.29207698359,-2578.1975449882375,0
141,-118795.26185144238,-2855.5759235679166,0
142,-118798.37294481957,-200.30287978736945,0
143,-118796.33624152021,-1110.3472375414683,0
144,-118796.44072524698,2224.6069066595255,0
145,-118798.4292565974,1476.4960125436114,0
146,-118798.43229794488,1840.6957637641203,0
147,-118796.3604484989,-243.6635378020858,0
148,-118798.406468147,938.4452520315199,0
149,-118798.39685960957,762.8704944923239,0
150,-118792.4400430392,2241.5777713665716,0
151,-118782.43664368967,2020.8327537050197,0
152,-118798.36246474832,56.666232743847644,0
153,-118797.28490107795,-2580.4541778212315,0
154,-118798.42876642461,1848.5326614114588,0
155,-118798.2813778403,-2803.885121091903,0
156,-118761.28439109608,-2804.3052430066286,0
157,-118797.30991632442,-2114.1617595081793,0
158,-118793.38826442663,-164.6752255913934,0
159,-118798.2706526893,-2580.5682144857383,0
160,-118798.41469866132,713.7973822273955,0
161,-118798.40345252771,707.8669219058504,0
162,-118780.43503821905,1975.9971290650062,0
163,-118795.4278869262,1658.1728338480154,0
164,-118791.44103931263,2264.787153912351,0
165,-118797.33498537092,-1117.1586211507256,0
166,-118798.33177660742,-1223.9476806759267,0
167,-118795.43432112152,1968.15691891247,0
168,-118793.38946214096,-115.02336952717334,0
169,-118790.28190759724,-2852.164453185045,0
170,-118790.28343827424,-2800.7094529103047,0
171,-118795.30599279399,-2381.917868061055,0
172,-118793.44117020242,2256.8314320036675,0
173,-118797.32501486628,-1838.118551116765,0
174,-118798.4310906728,1537.3727335384617,0
175,-118701.43480966135,1995.6709729482934,0
176,-118796.43500576781,2182.726586549044,0
177,-118797.43642861226,1191.256131122446,0
178,-118792.28426171349,-2695.3011512937474,0
179,-118797.28269663376,-2842.0419526708124,0
180,-118796.27821246981,-2911.868756147383,0
181,-118798.27589233957,-2514.3861292511965,0
182,-118794.41637185082,961.6760010368957,0
183,-118791.26195963215,-2951.1254288351606,0
184,-118768.26064401698,-2829.3972434294774,0
185,-118798.2704059098,-3007.437006781594,0
186,-118797.2838405591,-2748.1480893999205,0
187,-118796.3107010157,-2309.023474218644,0
188,-118797.2893435725,-2704.894014662287,0
189,-118785.30410610262,-2421.8748521498646,0
190,-118716.25996498985,-2877.697891725369,0
191,-118792.38753567317,604.0967190199865,0
192,-118799.26016367564,-2818.519005367258,0
193,-118799.26019801018,-2918.839754138988,0
194,-118799.25781116613,-2904.4866097215418,0
195,-118799.25827624732,-2846.1370483990977,0
196,-118799.28007506384,-2887.608945938833,0
197,-118799.28669410491,-2679.847848622506,0
198,-118799.28723384868,-2708.145450018828,0
199,-118799.29191014265,-2625.1888767858486,0
200,-118799.44133533434,2291.4225881282628,0
201,-118799.43081203649,1203.230734128597,0
202,-118799.4436551098,1285.2852949642383,0
203,-118799.43511516537,1144.0722548986391,0
204,-118799.43171510047,1165.723178173443,0
205,-118799.43212634229,1230.0983121924914,0
206,-118799.43524671931,1177.0942067252115,0
207,-118799.37776866539,-274.0630569010698,0
208,-118799.37594595917,-329.4871677125961,0
209,-118799.38680190267,-155.736690051208,0
210,-118799.43374902052,1927.8446257384833,0
211,-118799.33443450124,-1144.187135995332,0
212,-118799.26385558944,-2895.816336186969,0
213,-118799.26219630276,-2984.2725854334703,0
214,-118799.27203063863,-2757.5749205615493,0
215,-118799.3843101829,545.1351286448038,0
216,-118799.385680677,588.944715278397,0
217,-118799.43162257617,1852.9343454219993,0
218,-118799.4300922245,1635.4298235353513,0
219,-118799.42656132509,1330.1572438736298,0
220,-118799.41705841832,1157.2873433982506,0
221,-118799.39783600678,768.2357478688277,0
222,-118799.39560983151,764.8049101244741,0
223,-118799.39228342315,740.404292584006,0
224,-118799.35184660782,-415.99862745125176,0
225,-118799.41077321775,1251.3040082042319,0
226,-118799.36119022447,39.70569433738901,0
227,-118799.36697348075,128.13391875187472,0
228,-118799.31269135127,-1721.404340318173,0
229,-118799.43590586336,2037.5749396459425,0
230,-118799.43501759657,2045.1601428533304,0
231,-118799.40635347045,407.92524010084037,0
232,-118799.33462694852,-858.2401177786605,0
233,-118799.34660508423,-457.18977987803544,0
234,-118799.34915009225,-469.8858594011693,0
235,-118799.34831343914,-454.55697346273917,0
236,-118799.35302610997,-315.8085945328647,0
237,-118799.35114494995,-417.0799773263893,0
238,-118799.34250606266,-1269.96785844318,0
239,-118799.34025314705,-1264.4857640003604,0
240,-118799.3999969403,1036.9937664969514,0
241,-118799.4007049296,1038.0848739603919,0
242,-118799.43220879954,1814.046875003371,0
243,-118799.41145991786,716.4037490092747,0
244,-118799.51037160707,2795.517362241109,0
245,-118799.51570144371,2964.3937235775343,0
0,-118532.26320681408,-2792.8673561076416,1
1,-118626.4286438919,1876.7864094511483,1
2,-118655.29469368335,-2572.7658612433497,1
3,-118707.43977805901,2218.1512934428474,1
4,-118754.15202061785,23345.783448933726,1
5,-118778.28138034207,-2876.3200084799773,1
6,-118782.42058243233,1039.6089031235215,1
7,-118784.33546295318,-1146.8510878037207,1
8,-118784.43896498553,1253.500170886117,1
9,-118784.43427453397,1925.9706554723186,1
10,-118784.2676879541,-2841.02231237318,1
11,-118786.3791333535,-344.6644472847203,1
12,-118787.38642240199,480.1628236076194,1
13,-118787.42474090456,1656.2366419613409,1
14,-118791.36872288254,52.187450861878446,1
15,-118791.4295390559,1702.3027653783356,1
16,-118792.42738885844,1414.0214994137764,1
17,-118792.42764085447,1306.4099986915928,1
18,-118792.40439787059,725.4395783731536,1
19,-118792.42795209351,1570.1073078253605,1
20,-118793.32731772205,-1739.915393587221,1
21,-118793.39655551886,754.51971073575,1
22,-118793.40672930371,920.8447540280948,1
23,-118794.42917399257,1680.4265402538497,1
24,-118795.29839196643,-2317.9673705435557,1
25,-118795.43690254746,2210.5108389029633,1
26,-118796.35811864222,-29.57553942294391,1
27,-118796.35403546182,-450.1775936578207,1
28,-118796.40686472802,1101.767692351713,1
29,-118796.44108047192,2221.891406118188,1
30,-118796.37548021137,403.50367109057015,1
31,-118797.43716425111,2097.8964992773367,1
32,-118797.20385881077,-6299.794576200312,1
33,-118797.37102772077,-296.962838799617,1
34,-118797.311377161,-1805.3827908006429,1
35,-118798.36499951691,-287.05486133144984,1
36,-118798.39767024777,224.15843538961454,1
37,-118798.37980554735,156.7312528080966,1
38,-118798.43177606612,2093.8324819071477,1
39,-118799.12959572143,-5931.071376673966,1
40,-118799.3874095519,160.41595505244806,1
41,-118799.43323709979,1830.8365939955568,1
42,-118799.29349298037,-2081.11873055584,1
43,-118799.44129649515,2424.252073753403,1
44,-118799.39437638817,914.5173718105611,1
45,-118799.40133984241,437.4568994237938,1
46,-118799.30071105537,-1688.2674553585725,1
47,-118799.34191011793,-1225.8310170249877,1
48,-118799.33455293791,-623.9908759163411,1
49,-118799.34299388592,-578.2389044829597,1
50,-118799.41713030542,1289.3104852300678,1
51,-118799.32053298737,-1358.7513512343016,1
52,-118799.25885066103,-2908.7465353745442,1
53,-118799.28240466144,-2802.302683130303,1
54,-118799.28507986505,-2803.5105820837334,1
55,-118799.28077055395,-2839.3096900158425,1
56,-118799.30043134536,-2512.470167475782,1
57,-118799.4382929305,2184.8425173180863,1
58,-118799.4173629788,999.2095779831835,1
59,-118799.41694523791,978.53278550773,1
60,-118799.41325116195,1110.3768630917016,1
61,-118799.41689329449,954.5117843728626,1
62,-118799.3848370987,-78.68964242095716,1
63,-118799.43567515003,1965.7854294584283,1
64,-118799.43365446423,1892.394538258832,1
65,-118799.43314245937,1867.4463577464644,1
66,-118799.43430831315,1963.2521091982348,1
67,-118799.43422376321,1950.3450794015573,1
68,-118799.32910799982,-1300.5946460219332,1
69,-118799.33082941413,-1180.8549154059924,1
70,-118799.33742476991,-1051.0142880450983,1
71,-118799.33129802888,-1306.382334220789,1
72,-118799.38464656901,532.867333029515,1
73,-118799.43018669877,1850.7214637890236,1
74,-118799.4329315956,1862.796081893693,1
75,-118799.43624692773,1761.6034695840983,1
76,-118799.42899784313,1674.0653315571324,1
77,-118799.42882405348,1624.7773611317152,1
78,-118799.42669976008,1617.1592603034826,1
79,-118799.42993891712,1696.2790209613638,1
80,-118799.36264297187,-172.24345032499832,1
81,-118799.42787534323,1338.8315336341636,1
82,-118799.33032394577,-1757.563608883439,1
83,-118799.39596769377,839.2944986865591,1
84,-118799.42615790993,1651.1448078421079,1
85,-118799.39539433662,729.8324123344019,1
86,-118799.37852663644,414.52523617712393,1
87,-118799.36526467359,125.50041536598538,1
88,-118799.40809576711,1206.969419813561,1
89,-118799.30857016423,-1818.2266361804393,1
90,-118799.4326777171,2054.9758002276085,1
91,-118799.36046669292,-14.954000803149478,1
92,-118799.44020013828,1234.250955576211,1
93,-118799.4150813755,951.7193716917549,1
94,-118799.37786110482,-245.08522048483732,1
95,-118799.4023281594,821.7316880381156,1
96,-118799.4069005631,404.917343837873,1
97,-118799.27697545163,-2805.5098166545126,1
98,-118799.42204300717,1202.1232711708462,1
99,-118799.40604154304,949.7487543098911,1
100,-118799.37481556149,214.48968832017286,1
101,-118799.43414121037,2052.754170340681,1
102,-118799.40309586599,711.1303242261272,1
103,-118799.26706882151,-2953.742500661841,1
104,-118799.29421042092,-2530.878803147361,1
105,-118799.42981002021,1744.303743478037,1
106,-118799.39572252444,726.5061247006018,1
107,-118799.43480795459,1971.136114841037,1
108,-118799.37046453121,-100.83971635380252,1
109,-118799.26556090226,-2736.2630734866716,1
110,-118799.437439737,1188.6977171158305,1
111,-118799.26534948841,-2894.1210959673786,1
112,-118799.4161924912,746.5758791681296,1
113,-118799.41341701224,885.8303618465314,1
114,-118799.30712697534,-2336.8221557748343,1
115,-118799.39513231508,404.49945800741403,1
116,-118799.38564770947,343.669913474578,1
117,-118799.43901317181,2114.053776367409,1
118,-118799.43143809217,1941.442117048739,1
119,-118799.43812939867,1310.1956952914798,1
120,-118799.42844363641,1659.030669568275,1
121,-118799.43963798309,2263.490419096213,1
122,-118799.42911849657,1679.3828333140316,1
123,-118799.43157163885,1839.5763952217105,1
124,-118799.2846090435,-2781.613692160139,1
125,-118799.44688834834,1391.0022587694239,1
126,-118799.44057961911,1230.690701839321,1
127,-118799.32986771094,-1722.0707450231043,1
128,-118799.43412798853,1976.775346049175,1
129,-118799.43002408202,1974.908770732295,1
130,-118799.43386935117,1426.0574182957203,1
131,-118799.26355176874,-2889.938885547768,1
132,-118799.41559986526,944.5697359648301,1
133,-118799.3087703938,-1831.4915490854714,1
134,-118799.33856807069,-1062.5032995574402,1
135,-118799.20218944503,-6336.523999670397,1
136,-118799.27045775314,-2902.563319344383,1
137,-118799.25644925496,-2975.3066473660842,1
138,-118799.42766412719,1340.2797760525175,1
139,-118799.27343878263,-2788.8405350940884,1
140,-118799.29207698279,-2578.197578758188,1
141,-118799.26185143918,-2855.5760586477177,1
142,-118799.37294481877,-200.30291355731976,1
143,-118799.33624151781,-1110.3473388513191,1
144,-118799.44072524458,2224.6068053496747,1
145,-118799.4292565966,1476.4959787736611,1
146,-118799.43229794408,1840.69572999417,1
147,-118799.3604484965,-243.66363911193673,1
148,-118799.4064681462,938.4452182615696,1
149,-118799.39685960877,762.8704607223737,1
150,-118799.4400430336,2241.5775349769197,1
151,-118799.43664367606,2020.8321796158646,1
152,-118799.36246474752,56.66619897389733,1
153,-118799.28490107635,-2580.454245361132,1
154,-118799.4287664238,1848.5326276415085,1
155,-118799.2813778395,-2803.885154861853,1
156,-118799.28439106568,-2804.30652626474,1
157,-118799.30991632282,-2114.16182704808,1
158,-118799.38826442182,-164.67542821109524,1
159,-118799.2706526885,-2580.5682482556886,1
160,-118799.41469866052,713.7973484574452,1
161,-118799.40345252691,707.8668881359001,1
162,-118799.43503820384,1975.9964874359505,1
163,-118799.427886923,1658.1726987682143,1
164,-118799.44103930623,2264.786883752749,1
165,-118799.33498536932,-1117.1586886906261,1
166,-118799.33177660662,-1223.947714445877,1
167,-118799.43432111831,1968.156783832669,1
168,-118799.38946213615,-115.02357214687518,1
169,-118799.28190759003,-2852.1647571145977,1
170,-118799.28343826704,-2800.709756839857,1
171,-118799.30599279079,-2381.918003140856,1
172,-118799.44117019762,2256.831229383966,1
173,-118799.32501486468,-1838.1186186566656,1
174,-118799.431090672,1537.3726997685114,1
175,-118799.43480958293,1995.6676634931634,1
176,-118799.43500576541,2182.726485239193,1
177,-118799.43642861066,1191.2560635825455,1
178,-118799.28426170789,-2695.3013876833993,1
179,-118799.28269663216,-2842.042020210713,1
180,-118799.27821246741,-2911.868857457234,1
181,-118799.27589233877,-2514.386163021147,1
182,-118799.41637184682,961.6758321871442,1
183,-118799.26195962574,-2951.125698994763,1
184,-118799.26064399217,-2829.398290297937,1
185,-118799.270405909,-3007.437040551544,1
186,-118799.2838405575,-2748.148156939821,1
187,-118799.3107010133,-2309.023575528495,1
188,-118799.2893435709,-2704.8940822021877,1
189,-118799.30410609141,-2421.875324929169,1
190,-118799.25996492343,-2877.7006946312445,1
191,-118799.38753566757,604.0964826303343,1
192,-118799.26016367564,-2818.519005367258,1
193,-118799.26019801018,-2918.839754138988,1
194,-118799.25781116613,-2904.4866097215418,1
195,-118799.25827624732,-2846.1370483990977,1
196,-118799.28007506384,-2887.608945938833,1
197,-118799.28669410491,-2679.847848622506,1
198,-118799.28723384868,-2708.145450018828,1
199,-118799.29191014265,-2625.1888767858486,1
200,-118799.44133533434,2291.4225881282628,1
201,-118799.43081203649,1203.230734128597,1
202,-118799.4436551098,1285.2852949642383,1
203,-118799.43511516537,1144.0722548986391,1
204,-118799.43171510047,1165.723178173443,1
205,-118799.43212634229,1230.0983121924914,1
206,-118799.43524671931,1177.0942067252115,1
207,-118799.37776866539,-274.0630569010698,1
208,-118799.37594595917,-329.4871677125961,1
209,-118799.38680190267,-155.736690051208,1
210,-118799.43374902052,1927.8446257384833,1
211,-118799.33443450124,-1144.187135995332,1
212,-118799.26385558944,-2895.816336186969,1
213,-118799.26219630276,-2984.2725854334703,1
214,-118799.27203063863,-2757.5749205615493,1
215,-118799.3843101829,545.1351286448038,1
216,-118799.385680677,588.944715278397,1
217,-118799.43162257617,1852.9343454219993,1
218,-118799.4300922245,1635.4298235353513,1
219,-118799.42656132509,1330.1572438736298,1
220,-118799.41705841832,1157.2873433982506,1
221,-118799.39783600678,768.2357478688277,1
222,-118799.39560983151,764.8049101244741,1
223,-118799.39228342315,740.404292584006,1
224,-118799.35184660782,-415.99862745125176,1
225,-118799.41077321775,1251.3040082042319,1
226,-118799.36119022447,39.70569433738901,1
227,-118799.36697348075,128.13391875187472,1
228,-118799.31269135127,-1721.404340318173,1
229,-118799.43590586336,2037.5749396459425,1
230,-118799.43501759657,2045.1601428533304,1
231,-118799.40635347045,407.92524010084037,1
232,-118799.33462694852,-858.2401177786605,1
233,-118799.34660508423,-457.18977987803544,1
234,-118799.34915009225,-469.8858594011693,1
235,-118799.34831343914,-454.55697346273917,1
236,-118799.35302610997,-315.8085945328647,1
237,-118799.35114494995,-417.0799773263893,1
238,-118799.34250606266,-1269.96785844318,1
239,-118799.34025314705,-1264.4857640003604,1
240,-118799.3999969403,1036.9937664969514,1
241,-118799.4007049296,1038.0848739603919,1
242,-118799.43220879954,1814.046875003371,1
243,-118799.41145991786,716.4037490092747,1
244,-118799.51037160707,2795.517362241109,1
